facilities,inmates_positive,inmates_deaths,scrape_date,state,staff_positive,staff_deaths,staff_recovered,units_quarantine,inmates_quarantine,housing_type,inmates_isolation,inmates_covid_deaths,inmates_tested,test_pending,inmates_negative,inmates_pending,daily_total_pop,security_quarantine,medical_quarantine,medical_isolation,inmates_recovered,staff_negative,inmates_hospital,inmates_step_down,recovered,inmates_death_underlying_cond,total_deaths,inmates_medical_restriction,inmates_medical_isolation,persons_under_med_investigation,staff_recoveries,inmates_recoveries
Eyman,3,NA,2020-04-19,Arizona,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,9,0,5654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yuma,0,NA,2020-04-19,Arizona,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,0,4892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phoenix West*,0,NA,2020-04-19,Arizona,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Red Rock*,0,NA,2020-04-19,Arizona,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,12,0,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phoenix,0,NA,2020-04-19,Arizona,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Perryville,0,NA,2020-04-19,Arizona,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,4147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRC,0,NA,2020-04-19,Arizona,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lewis,0,NA,2020-04-19,Arizona,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,0,4595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kingman*,0,NA,2020-04-19,Arizona,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,0,3206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florence West*,0,NA,2020-04-19,Arizona,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,1,664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRC,0,NA,2020-04-19,Arizona,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florence,13,NA,2020-04-19,Arizona,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,9,34,3610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Winslow,0,NA,2020-04-19,Arizona,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,0,1341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tucson,1,NA,2020-04-19,Arizona,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,20,0,4927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marana*,5,NA,2020-04-19,Arizona,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,1,0,447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apalachee CI,0,NA,2020-04-19,Florida,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Avon Park CI,0,NA,2020-04-19,Florida,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,1,134,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baker CI,0,NA,2020-04-19,Florida,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bay CFOperated by
                  The GEO Group Inc.*",0,NA,2020-04-19,Florida,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blackwater CFOperated by
                  The GEO Group Inc.*",38,NA,2020-04-19,Florida,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,4,NA,0,635,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calhoun CI,0,NA,2020-04-19,Florida,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Century CI,0,NA,2020-04-19,Florida,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CFRC,0,NA,2020-04-19,Florida,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,15,103,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charlotte CI,0,NA,2020-04-19,Florida,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,6,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Columbia CI,0,NA,2020-04-19,Florida,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2,NA,6,63,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
