facilities,inmates_positive,inmates_deaths,scrape_date,state,inmates_tested,test_pending,inmates_negative,inmates_pending,daily_total_pop,security_quarantine,medical_quarantine,medical_isolation,staff_positive,staff_recovered,inmates_recovered,staff_negative,staff_deaths,inmates_hospital,inmates_step_down,recovered,inmates_death_underlying_cond,total_deaths
Fountain,NA,NA,2020-04-17,Alabama,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frank Lee,NA,NA,2020-04-17,Alabama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hamilton A&I,NA,NA,2020-04-17,Alabama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hamilton CBF,NA,NA,2020-04-17,Alabama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Holman,NA,NA,2020-04-17,Alabama,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kilby,NA,NA,2020-04-17,Alabama,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Limestone,NA,NA,2020-04-17,Alabama,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loxley,NA,NA,2020-04-17,Alabama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mobile,NA,NA,2020-04-17,Alabama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery,NA,NA,2020-04-17,Alabama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Alabama,NA,NA,2020-04-17,Alabama,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Red Eagle,NA,NA,2020-04-17,Alabama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St Clair,2,1,2020-04-17,Alabama,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Staton,NA,NA,2020-04-17,Alabama,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tutwiler,NA,NA,2020-04-17,Alabama,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ventress,NA,NA,2020-04-17,Alabama,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Safford,0,NA,2020-04-17,Arizona,0,NA,0,0,1616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CACF*,0,NA,2020-04-17,Arizona,6,NA,6,0,1271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Douglas,0,NA,2020-04-17,Arizona,3,NA,3,0,2120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
